"Temperature_(K)" "Pressure_(MPa)" "Vap._Density_(mol/m3)" "Liq._Density_(mol/m3)"
205.2 0.00014444 0.084674 11787
205.3 0.0001458 0.08543 11786
205.4 0.00014717 0.086192 11785
205.5 0.00014855 0.08696 11784
205.6 0.00014995 0.087734 11782
205.7 0.00015135 0.088514 11781
205.8 0.00015277 0.0893 11780
205.9 0.0001542 0.090092 11779
206 0.00015564 0.09089 11777
206.1 0.00015709 0.091694 11776
206.2 0.00015856 0.092504 11775
206.3 0.00016003 0.093321 11773
206.4 0.00016152 0.094144 11772
206.5 0.00016303 0.094973 11771
206.6 0.00016454 0.095808 11770
206.7 0.00016606 0.09665 11768
206.8 0.0001676 0.097498 11767
206.9 0.00016915 0.098353 11766
207 0.00017072 0.099214 11765
207.1 0.00017229 0.10008 11763
207.2 0.00017388 0.10096 11762
207.3 0.00017548 0.10184 11761
207.4 0.0001771 0.10273 11759
207.5 0.00017873 0.10362 11758
207.6 0.00018037 0.10452 11757
207.7 0.00018202 0.10543 11756
207.8 0.00018369 0.10634 11754
207.9 0.00018537 0.10727 11753
208 0.00018706 0.10819 11752
208.1 0.00018877 0.10913 11751
208.2 0.00019049 0.11007 11749
208.3 0.00019223 0.11102 11748
208.4 0.00019398 0.11198 11747
208.5 0.00019574 0.11294 11746
208.6 0.00019752 0.11391 11744
208.7 0.00019931 0.11489 11743
208.8 0.00020111 0.11588 11742
208.9 0.00020293 0.11687 11740
209 0.00020477 0.11787 11739
209.1 0.00020662 0.11888 11738
209.2 0.00020848 0.11989 11737
209.3 0.00021036 0.12092 11735
209.4 0.00021225 0.12195 11734
209.5 0.00021416 0.12298 11733
209.6 0.00021608 0.12403 11732
209.7 0.00021802 0.12508 11730
209.8 0.00021998 0.12614 11729
209.9 0.00022195 0.12721 11728
210 0.00022393 0.12829 11726
210.1 0.00022593 0.12937 11725
210.2 0.00022794 0.13046 11724
210.3 0.00022998 0.13157 11723
210.4 0.00023202 0.13267 11721
210.5 0.00023409 0.13379 11720
210.6 0.00023617 0.13491 11719
210.7 0.00023826 0.13605 11718
210.8 0.00024037 0.13719 11716
210.9 0.0002425 0.13834 11715
211 0.00024464 0.13949 11714
211.1 0.00024681 0.14066 11712
211.2 0.00024898 0.14183 11711
211.3 0.00025118 0.14302 11710
211.4 0.00025339 0.14421 11709
211.5 0.00025562 0.14541 11707
211.6 0.00025786 0.14662 11706
211.7 0.00026013 0.14783 11705
211.8 0.00026241 0.14906 11704
211.9 0.0002647 0.15029 11702
212 0.00026702 0.15154 11701
212.1 0.00026935 0.15279 11700
212.2 0.0002717 0.15405 11698
212.3 0.00027407 0.15532 11697
212.4 0.00027646 0.1566 11696
212.5 0.00027886 0.15789 11695
212.6 0.00028129 0.15919 11693
212.7 0.00028373 0.16049 11692
212.8 0.00028619 0.16181 11691
212.9 0.00028867 0.16313 11690
213 0.00029116 0.16447 11688
213.1 0.00029368 0.16581 11687
213.2 0.00029622 0.16717 11686
213.3 0.00029877 0.16853 11684
213.4 0.00030134 0.1699 11683
213.5 0.00030394 0.17128 11682
213.6 0.00030655 0.17268 11681
213.7 0.00030918 0.17408 11679
213.8 0.00031183 0.17549 11678
213.9 0.00031451 0.17691 11677
214 0.0003172 0.17834 11676
214.1 0.00031991 0.17978 11674
214.2 0.00032264 0.18123 11673
214.3 0.00032539 0.1827 11672
214.4 0.00032817 0.18417 11670
214.5 0.00033096 0.18565 11669
214.6 0.00033378 0.18714 11668
214.7 0.00033661 0.18864 11667
214.8 0.00033947 0.19016 11665
214.9 0.00034234 0.19168 11664
215 0.00034524 0.19321 11663
215.1 0.00034816 0.19476 11662
