#T = 293.15 K
#pressure (bar)	loading(mmol/g)
19.6696703	5.591355242
19.7197203	5.591775664
19.7697704	5.592194078
19.8198204	5.592610499
19.8698705	5.593024940
19.9199205	5.593437415
19.9699706	5.593847939
20.0200206	5.594256526
20.0700707	5.594663189
20.1201207	5.595067941
20.1701708	5.595470797
20.2202208	5.595871769
20.2702709	5.596270870
20.3203209	5.596668114
20.3703710	5.597063514
20.4204210	5.597457082
20.4704711	5.597848831
20.5205211	5.598238774
20.5705712	5.598626923
20.6206212	5.599013290
20.6706713	5.599397889
20.7207213	5.599780730
20.7707714	5.600161825
20.8208214	5.600541188
20.8708715	5.600918829
20.9209215	5.601294761
20.9709716	5.601668994
21.0210216	5.602041541
21.0710716	5.602412412
21.1211217	5.602781619
21.1711717	5.603149174
21.2212218	5.603515086
21.2712718	5.603879368
21.3213219	5.604242030
21.3713719	5.604603083
21.4214220	5.604962538
21.4714720	5.605320404
21.5215221	5.605676693
21.5715721	5.606031416
21.6216222	5.606384581
21.6716722	5.606736201
21.7217223	5.607086283
21.7717723	5.607434840
21.8218224	5.607781881
21.8718724	5.608127415
21.9219225	5.608471452
21.9719725	5.608814003
22.0220226	5.609155076
22.0720726	5.609494682
22.1221227	5.609832829
22.1721727	5.610169527
22.2222228	5.610504786
22.2722728	5.610838614
22.3223229	5.611171021
22.3723729	5.611502016
22.4224230	5.611831608
22.4724730	5.612159805
22.5225231	5.612486617
22.5725731	5.612812052
22.6226232	5.613136118
22.6726732	5.613458826
22.7227233	5.613780183
22.7727733	5.614100197
22.8228234	5.614418877
22.8728734	5.614736231
22.9229235	5.615052268
22.9729735	5.615366995
23.0230236	5.615680422
23.0730736	5.615992555
23.1231237	5.616303403
23.1731737	5.616612974
23.2232238	5.616921276
23.2732738	5.617228316
23.3233239	5.617534102
23.3733739	5.617838642
23.4234240	5.618141944
23.4734740	5.618444014
23.5235241	5.618744861
23.5735741	5.619044492
23.6236242	5.619342914
23.6736742	5.619640134
23.7237242	5.619936161
23.7737743	5.620231000
23.8238243	5.620524659
23.8738744	5.620817146
23.9239244	5.621108467
23.9739745	5.621398629
24.0240245	5.621687639
24.0740746	5.621975503
24.1241246	5.622262230
24.1741747	5.622547825
24.2242247	5.622832294
24.2742748	5.623115646
24.3243248	5.623397886
24.3743749	5.623679021
24.4244249	5.623959057
24.4744750	5.624238001
24.5245250	5.624515859
24.5745751	5.624792637
24.6246251	5.625068343
24.6746752	5.625342981
24.7247252	5.625616558
24.7747753	5.625889081
24.8248253	5.626160555
24.8748754	5.626430986
24.9249254	5.626700381
24.9749755	5.626968745
25.0250255	5.627236084
25.0750756	5.627502405
25.1251256	5.627767712
25.1751757	5.628032012
25.2252257	5.628295311
25.2752758	5.628557613
25.3253258	5.628818926
25.3753759	5.629079254
25.4254259	5.629338602
25.4754760	5.629596977
25.5255260	5.629854384
25.5755761	5.630110829
25.6256261	5.630366316
25.6756762	5.630620851
25.7257262	5.630874439
25.7757763	5.631127086
25.8258263	5.631378797
25.8758764	5.631629577
25.9259264	5.631879431
25.9759765	5.632128365
26.0260265	5.632376383
26.0760766	5.632623490
26.1261266	5.632869692
26.1761767	5.633114994
26.2262267	5.633359400
26.2762768	5.633602915
26.3263268	5.633845544
26.3763768	5.634087292
26.4264269	5.634328164
26.4764769	5.634568164
26.5265270	5.634807297
26.5765770	5.635045569
26.6266271	5.635282983
26.6766771	5.635519544
26.7267272	5.635755257
26.7767772	5.635990126
26.8268273	5.636224156
26.8768773	5.636457352
26.9269274	5.636689717
26.9769774	5.636921257
27.0270275	5.637151975
27.0770775	5.637381876
27.1271276	5.637610964
27.1771776	5.637839244
27.2272277	5.638066720
27.2772777	5.638293396
27.3273278	5.638519276
27.3773778	5.638744365
27.4274279	5.638968667
27.4774779	5.639192185
27.5275280	5.639414924
27.5775780	5.639636888
27.6276281	5.639858081
27.6776781	5.640078507
27.7277282	5.640298171
27.7777782	5.640517075
27.8278283	5.640735224
27.8778783	5.640952621
