"Temperature_(K)" "Pressure_(MPa)" "Vap._Density_(mol/m3)" "Liq._Density_(mol/m3)"
167.3 0.0022034 1.5894 26018
167.4 0.002225 1.604 26013
167.5 0.0022468 1.6188 26008
167.6 0.0022687 1.6337 26004
167.7 0.0022909 1.6487 25999
167.8 0.0023132 1.6638 25994
167.9 0.0023357 1.679 25989
168 0.0023584 1.6943 25985
168.1 0.0023813 1.7098 25980
168.2 0.0024043 1.7254 25975
168.3 0.0024276 1.7411 25970
168.4 0.002451 1.7569 25966
168.5 0.0024747 1.7728 25961
168.6 0.0024985 1.7889 25956
168.7 0.0025226 1.8051 25951
168.8 0.0025468 1.8214 25947
168.9 0.0025712 1.8378 25942
169 0.0025959 1.8544 25937
169.1 0.0026207 1.8711 25932
169.2 0.0026457 1.8879 25927
169.3 0.002671 1.9048 25923
169.4 0.0026964 1.9219 25918
169.5 0.0027221 1.939 25913
169.6 0.002748 1.9564 25908
169.7 0.002774 1.9738 25904
169.8 0.0028003 1.9914 25899
169.9 0.0028268 2.0091 25894
170 0.0028535 2.027 25889
170.1 0.0028805 2.0449 25885
170.2 0.0029076 2.0631 25880
170.3 0.002935 2.0813 25875
170.4 0.0029626 2.0997 25870
170.5 0.0029904 2.1182 25865
170.6 0.0030184 2.1369 25861
170.7 0.0030467 2.1557 25856
170.8 0.0030751 2.1746 25851
170.9 0.0031039 2.1937 25846
171 0.0031328 2.2129 25842
171.1 0.003162 2.2322 25837
171.2 0.0031913 2.2517 25832
171.3 0.003221 2.2714 25827
171.4 0.0032508 2.2912 25822
171.5 0.0032809 2.3111 25818
171.6 0.0033113 2.3312 25813
171.7 0.0033419 2.3514 25808
171.8 0.0033727 2.3718 25803
171.9 0.0034037 2.3923 25798
172 0.003435 2.4129 25794
172.1 0.0034666 2.4338 25789
172.2 0.0034984 2.4547 25784
172.3 0.0035304 2.4758 25779
172.4 0.0035627 2.4971 25775
172.5 0.0035953 2.5185 25770
172.6 0.0036281 2.5401 25765
172.7 0.0036611 2.5618 25760
172.8 0.0036944 2.5837 25755
172.9 0.003728 2.6058 25751
173 0.0037618 2.628 25746
173.1 0.0037959 2.6503 25741
173.2 0.0038302 2.6728 25736
173.3 0.0038648 2.6955 25731
173.4 0.0038997 2.7184 25727
173.5 0.0039349 2.7414 25722
173.6 0.0039703 2.7645 25717
173.7 0.004006 2.7879 25712
173.8 0.0040419 2.8113 25707
173.9 0.0040782 2.835 25703
174 0.0041147 2.8588 25698
174.1 0.0041515 2.8828 25693
174.2 0.0041885 2.907 25688
174.3 0.0042259 2.9313 25683
174.4 0.0042635 2.9558 25679
174.5 0.0043014 2.9805 25674
174.6 0.0043396 3.0053 25669
174.7 0.0043781 3.0303 25664
174.8 0.0044169 3.0555 25659
174.9 0.0044559 3.0809 25655
175 0.0044953 3.1064 25650
175.1 0.004535 3.1321 25645
175.2 0.0045749 3.158 25640
175.3 0.0046152 3.1841 25635
175.4 0.0046557 3.2104 25631
175.5 0.0046966 3.2368 25626
175.6 0.0047377 3.2634 25621
175.7 0.0047792 3.2902 25616
175.8 0.004821 3.3172 25611
175.9 0.004863 3.3443 25607
176 0.0049054 3.3717 25602
176.1 0.0049481 3.3992 25597
176.2 0.0049912 3.427 25592
176.3 0.0050345 3.4549 25587
176.4 0.0050781 3.483 25583
176.5 0.0051221 3.5113 25578
176.6 0.0051664 3.5398 25573
176.7 0.005211 3.5684 25568
176.8 0.005256 3.5973 25563
176.9 0.0053013 3.6264 25558
177 0.0053469 3.6556 25554
177.1 0.0053928 3.6851 25549
177.2 0.0054391 3.7147 25544
177.3 0.0054857 3.7446 25539
177.4 0.0055326 3.7746 25534
177.5 0.0055799 3.8049 25530
177.6 0.0056275 3.8353 25525
177.7 0.0056755 3.866 25520
177.8 0.0057238 3.8969 25515
177.9 0.0057725 3.9279 25510
178 0.0058215 3.9592 25505
178.1 0.0058708 3.9907 25501
178.2 0.0059206 4.0224 25496
178.3 0.0059706 4.0542 25491
178.4 0.0060211 4.0864 25486
178.5 0.0060719 4.1187 25481
178.6 0.006123 4.1512 25476
178.7 0.0061745 4.1839 25472
178.8 0.0062264 4.2169 25467
178.9 0.0062786 4.2501 25462
179 0.0063313 4.2834 25457
179.1 0.0063842 4.3171 25452
179.2 0.0064376 4.3509 25447
179.3 0.0064913 4.3849 25443
179.4 0.0065455 4.4192 25438
179.5 0.0066 4.4537 25433
179.6 0.0066548 4.4884 25428
179.7 0.0067101 4.5233 25423
179.8 0.0067658 4.5585 25418
179.9 0.0068218 4.5939 25414
180 0.0068782 4.6295 25409
180.1 0.0069351 4.6653 25404
180.2 0.0069923 4.7014 25399
180.3 0.0070499 4.7377 25394
180.4 0.0071079 4.7742 25389
180.5 0.0071663 4.811 25385
180.6 0.0072251 4.848 25380
180.7 0.0072844 4.8852 25375
180.8 0.007344 4.9227 25370
180.9 0.0074041 4.9604 25365
181 0.0074645 4.9984 25360
181.1 0.0075254 5.0366 25355
181.2 0.0075867 5.075 25351
181.3 0.0076484 5.1137 25346
181.4 0.0077105 5.1526 25341
181.5 0.0077731 5.1918 25336
181.6 0.0078361 5.2312 25331
181.7 0.0078995 5.2709 25326
181.8 0.0079634 5.3108 25322
181.9 0.0080276 5.3509 25317
182 0.0080924 5.3913 25312
182.1 0.0081575 5.432 25307
182.2 0.0082231 5.4729 25302
182.3 0.0082891 5.5141 25297
182.4 0.0083556 5.5555 25292
182.5 0.0084226 5.5972 25288
182.6 0.0084899 5.6391 25283
182.7 0.0085578 5.6813 25278
182.8 0.0086261 5.7238 25273
182.9 0.0086948 5.7665 25268
183 0.008764 5.8095 25263
183.1 0.0088337 5.8527 25258
183.2 0.0089038 5.8963 25253
183.3 0.0089744 5.94 25249
183.4 0.0090455 5.9841 25244
183.5 0.009117 6.0284 25239
183.6 0.009189 6.073 25234
183.7 0.0092615 6.1179 25229
183.8 0.0093345 6.163 25224
183.9 0.009408 6.2084 25219
184 0.0094819 6.2541 25215
184.1 0.0095563 6.3001 25210
184.2 0.0096312 6.3463 25205
184.3 0.0097066 6.3928 25200
184.4 0.0097825 6.4396 25195
184.5 0.0098589 6.4867 25190
