"Temperature_(K)" "Pressure_(MPa)" "Vap._Density_(mol/m3)" "Liq._Density_(mol/m3)"
178.5 0.0025868 1.7505 9690.9
178.6 0.0026098 1.7651 9689.1
178.7 0.0026329 1.7798 9687.2
178.8 0.0026562 1.7946 9685.4
178.9 0.0026797 1.8095 9683.5
179 0.0027033 1.8245 9681.7
179.1 0.0027272 1.8396 9679.8
179.2 0.0027512 1.8548 9678
179.3 0.0027754 1.8701 9676.1
179.4 0.0027998 1.8856 9674.3
179.5 0.0028243 1.9011 9672.4
179.6 0.0028491 1.9167 9670.6
179.7 0.002874 1.9325 9668.7
179.8 0.0028991 1.9483 9666.9
179.9 0.0029244 1.9643 9665
180 0.0029499 1.9804 9663.2
180.1 0.0029755 1.9965 9661.3
180.2 0.0030014 2.0128 9659.4
180.3 0.0030274 2.0292 9657.6
180.4 0.0030536 2.0457 9655.7
180.5 0.0030801 2.0623 9653.9
180.6 0.0031067 2.0791 9652
180.7 0.0031335 2.0959 9650.2
180.8 0.0031605 2.1129 9648.3
180.9 0.0031877 2.13 9646.5
181 0.0032151 2.1471 9644.6
181.1 0.0032427 2.1645 9642.8
181.2 0.0032705 2.1819 9640.9
181.3 0.0032985 2.1994 9639
181.4 0.0033267 2.2171 9637.2
181.5 0.0033552 2.2348 9635.3
181.6 0.0033838 2.2527 9633.5
181.7 0.0034126 2.2707 9631.6
181.8 0.0034416 2.2889 9629.8
181.9 0.0034709 2.3071 9627.9
182 0.0035003 2.3255 9626.1
182.1 0.00353 2.344 9624.2
182.2 0.0035598 2.3626 9622.3
182.3 0.0035899 2.3813 9620.5
182.4 0.0036202 2.4002 9618.6
182.5 0.0036507 2.4191 9616.8
182.6 0.0036814 2.4382 9614.9
182.7 0.0037124 2.4575 9613.1
182.8 0.0037435 2.4768 9611.2
182.9 0.0037749 2.4963 9609.3
183 0.0038065 2.5159 9607.5
183.1 0.0038384 2.5356 9605.6
183.2 0.0038704 2.5555 9603.8
183.3 0.0039027 2.5755 9601.9
183.4 0.0039352 2.5956 9600.1
183.5 0.0039679 2.6159 9598.2
183.6 0.0040009 2.6363 9596.3
183.7 0.0040341 2.6568 9594.5
183.8 0.0040675 2.6774 9592.6
183.9 0.0041012 2.6982 9590.8
184 0.004135 2.7191 9588.9
184.1 0.0041692 2.7402 9587
184.2 0.0042035 2.7613 9585.2
184.3 0.0042381 2.7826 9583.3
184.4 0.004273 2.8041 9581.5
184.5 0.004308 2.8257 9579.6
184.6 0.0043434 2.8474 9577.8
184.7 0.0043789 2.8693 9575.9
184.8 0.0044147 2.8913 9574
184.9 0.0044508 2.9134 9572.2
185 0.0044871 2.9357 9570.3
185.1 0.0045237 2.9581 9568.5
185.2 0.0045605 2.9807 9566.6
185.3 0.0045975 3.0034 9564.7
185.4 0.0046348 3.0262 9562.9
185.5 0.0046724 3.0492 9561
185.6 0.0047102 3.0724 9559.2
185.7 0.0047483 3.0956 9557.3
185.8 0.0047866 3.1191 9555.4
185.9 0.0048252 3.1426 9553.6
186 0.004864 3.1663 9551.7
186.1 0.0049031 3.1902 9549.8
186.2 0.0049425 3.2142 9548
186.3 0.0049821 3.2384 9546.1
186.4 0.005022 3.2627 9544.3
186.5 0.0050622 3.2872 9542.4
186.6 0.0051027 3.3118 9540.5
186.7 0.0051434 3.3365 9538.7
186.8 0.0051844 3.3615 9536.8
186.9 0.0052256 3.3865 9534.9
187 0.0052672 3.4118 9533.1
187.1 0.005309 3.4371 9531.2
187.2 0.005351 3.4627 9529.4
187.3 0.0053934 3.4884 9527.5
187.4 0.0054361 3.5142 9525.6
187.5 0.005479 3.5402 9523.8
187.6 0.0055222 3.5664 9521.9
187.7 0.0055657 3.5927 9520
187.8 0.0056095 3.6192 9518.2
187.9 0.0056536 3.6458 9516.3
188 0.0056979 3.6726 9514.4
188.1 0.0057426 3.6996 9512.6
188.2 0.0057875 3.7267 9510.7
188.3 0.0058328 3.754 9508.8
188.4 0.0058783 3.7815 9507
188.5 0.0059241 3.8091 9505.1
188.6 0.0059702 3.8369 9503.2
188.7 0.0060167 3.8648 9501.4
188.8 0.0060634 3.8929 9499.5
188.9 0.0061104 3.9212 9497.6
189 0.0061578 3.9497 9495.8
189.1 0.0062054 3.9783 9493.9
189.2 0.0062534 4.0071 9492
189.3 0.0063016 4.0361 9490.2
189.4 0.0063502 4.0652 9488.3
189.5 0.0063991 4.0945 9486.4
189.6 0.0064483 4.124 9484.6
189.7 0.0064978 4.1536 9482.7
189.8 0.0065476 4.1835 9480.8
189.9 0.0065978 4.2135 9479
190 0.0066482 4.2437 9477.1
190.1 0.006699 4.274 9475.2
190.2 0.0067501 4.3046 9473.4
190.3 0.0068016 4.3353 9471.5
190.4 0.0068533 4.3662 9469.6
190.5 0.0069054 4.3972 9467.7
190.6 0.0069579 4.4285 9465.9
190.7 0.0070106 4.4599 9464
190.8 0.0070637 4.4916 9462.1
190.9 0.0071171 4.5234 9460.3
191 0.0071709 4.5554 9458.4
191.1 0.007225 4.5875 9456.5
191.2 0.0072794 4.6199 9454.7
191.3 0.0073342 4.6524 9452.8
191.4 0.0073893 4.6852 9450.9
191.5 0.0074448 4.7181 9449
191.6 0.0075006 4.7512 9447.2
191.7 0.0075567 4.7845 9445.3
191.8 0.0076132 4.818 9443.4
191.9 0.0076701 4.8517 9441.5
192 0.0077273 4.8855 9439.7
192.1 0.0077849 4.9196 9437.8
192.2 0.0078428 4.9539 9435.9
192.3 0.007901 4.9883 9434.1
192.4 0.0079597 5.023 9432.2
192.5 0.0080187 5.0578 9430.3
192.6 0.008078 5.0929 9428.4
192.7 0.0081378 5.1281 9426.6
192.8 0.0081979 5.1636 9424.7
192.9 0.0082583 5.1992 9422.8
193 0.0083192 5.2351 9420.9
193.1 0.0083804 5.2711 9419.1
193.2 0.0084419 5.3074 9417.2
193.3 0.0085039 5.3438 9415.3
193.4 0.0085662 5.3805 9413.4
193.5 0.0086289 5.4173 9411.5
193.6 0.008692 5.4544 9409.7
193.7 0.0087555 5.4917 9407.8
193.8 0.0088193 5.5291 9405.9
193.9 0.0088836 5.5668 9404
194 0.0089482 5.6047 9402.2
194.1 0.0090132 5.6428 9400.3
194.2 0.0090786 5.6811 9398.4
194.3 0.0091444 5.7197 9396.5
194.4 0.0092106 5.7584 9394.6
194.5 0.0092772 5.7974 9392.8
194.6 0.0093442 5.8365 9390.9
194.7 0.0094116 5.8759 9389
194.8 0.0094794 5.9155 9387.1
194.9 0.0095476 5.9554 9385.3
195 0.0096162 5.9954 9383.4
195.1 0.0096852 6.0356 9381.5
195.2 0.0097546 6.0761 9379.6
195.3 0.0098245 6.1168 9377.7
195.4 0.0098947 6.1577 9375.8
195.5 0.0099654 6.1989 9374
195.6 0.010036 6.2402 9372.1
195.7 0.010108 6.2818 9370.2
195.8 0.01018 6.3236 9368.3
195.9 0.010252 6.3657 9366.4
196 0.010325 6.4079 9364.6
196.1 0.010398 6.4504 9362.7
196.2 0.010472 6.4932 9360.8
196.3 0.010546 6.5361 9358.9
196.4 0.01062 6.5793 9357
196.5 0.010695 6.6227 9355.1
196.6 0.010771 6.6663 9353.3
196.7 0.010846 6.7102 9351.4
196.8 0.010923 6.7543 9349.5
196.9 0.010999 6.7987 9347.6
197 0.011076 6.8433 9345.7
197.1 0.011154 6.8881 9343.8
197.2 0.011232 6.9332 9341.9
197.3 0.01131 6.9785 9340.1
197.4 0.011389 7.024 9338.2
197.5 0.011469 7.0698 9336.3
197.6 0.011549 7.1158 9334.4
197.7 0.011629 7.1621 9332.5
197.8 0.01171 7.2086 9330.6
197.9 0.011791 7.2553 9328.7
198 0.011872 7.3023 9326.8
198.1 0.011955 7.3496 9325
198.2 0.012037 7.397 9323.1
198.3 0.01212 7.4448 9321.2
198.4 0.012204 7.4928 9319.3
198.5 0.012288 7.541 9317.4
198.6 0.012372 7.5895 9315.5
198.7 0.012457 7.6382 9313.6
198.8 0.012543 7.6872 9311.7
198.9 0.012629 7.7365 9309.8
199 0.012715 7.786 9307.9
199.1 0.012802 7.8358 9306.1
199.2 0.012889 7.8858 9304.2
199.3 0.012977 7.936 9302.3
199.4 0.013066 7.9866 9300.4
199.5 0.013154 8.0374 9298.5
199.6 0.013244 8.0884 9296.6
199.7 0.013334 8.1398 9294.7
199.8 0.013424 8.1913 9292.8
